n,gamma,Ntraj,maxdim,dt,t,S_mid_mean,S_max_mean,S_max_p95,chi_mean,chi_std,chi_sem,chi3_mean,chi_p95,chi_max,linkdim_max,z_mid,z_sem,z_var,saturated
14,0.1,256,1024,0.05,0.000000,0.00000000,0.00000000,0.00000000,1.000,0.000,0.000,1.000000e+00,1.00,1.00,1,-1.00000000,0.00000000,0.00000000e+00,false
14,0.1,256,1024,0.05,0.420000,0.23614073,0.25255052,0.25438605,4.000,0.000,0.000,6.400000e+01,4.00,4.00,6,-0.78300198,0.02003538,1.02762600e-01,false
14,0.1,256,1024,0.05,0.840000,0.55494023,0.62664196,0.64841315,5.992,0.125,0.008,2.154062e+02,6.00,6.00,10,-0.42854532,0.02178247,1.21465834e-01,false
14,0.1,256,1024,0.05,1.260000,0.84803867,0.92818165,1.02706261,7.977,0.293,0.018,5.095391e+02,8.00,9.00,14,-0.18486680,0.02066089,1.09279362e-01,false
14,0.1,256,1024,0.05,1.680000,1.09194550,1.24520672,1.42748588,11.441,1.427,0.089,1.561949e+03,13.00,13.00,19,-0.08191088,0.02200731,1.23986347e-01,false
14,0.1,256,1024,0.05,2.100000,1.30357354,1.55090698,1.76027484,14.602,2.054,0.128,3.283148e+03,16.00,17.00,27,-0.00377852,0.02325006,1.38384736e-01,false
14,0.1,256,1024,0.05,2.520000,1.48198078,1.78471069,2.02765295,18.750,4.161,0.260,7.511039e+03,23.00,23.00,36,0.10749169,0.02331361,1.39142254e-01,false
14,0.1,256,1024,0.05,2.940000,1.61854589,1.93349014,2.28113434,23.004,6.691,0.418,1.514743e+04,32.00,32.00,49,0.19200863,0.02280915,1.33185894e-01,false
14,0.1,256,1024,0.05,3.360000,1.74008976,2.04879084,2.50563005,27.203,9.498,0.594,2.735043e+04,42.00,42.00,66,0.24633518,0.02215010,1.25600509e-01,false
14,0.1,256,1024,0.05,3.780000,1.83132792,2.13247572,2.66434162,29.992,12.729,0.796,4.189919e+04,55.00,55.00,80,0.30315845,0.02175470,1.21156341e-01,false
14,0.1,256,1024,0.05,4.200000,1.92113847,2.18316451,2.87266084,31.629,15.573,0.973,5.634514e+04,68.00,68.00,92,0.33877303,0.01993954,1.01781803e-01,false
14,0.1,256,1024,0.05,4.620000,1.98942711,2.21869355,3.00867407,32.227,17.565,1.098,6.633562e+04,60.00,79.00,98,0.37039261,0.01855323,8.81209526e-02,false
14,0.1,256,1024,0.05,5.040000,2.02515628,2.24041582,3.08326517,31.613,18.374,1.148,6.781982e+04,66.25,86.00,102,0.41326793,0.01774786,8.06365881e-02,false
14,0.1,256,1024,0.05,5.460000,2.06030182,2.26802923,3.15419925,30.770,18.664,1.166,6.590184e+04,68.00,89.00,105,0.42269347,0.01704332,7.43615704e-02,false
14,0.1,256,1024,0.05,5.880000,2.06164816,2.27051467,3.18715278,29.918,19.152,1.197,6.506516e+04,69.25,88.00,105,0.45290857,0.01735171,7.70769132e-02,false
14,0.1,256,1024,0.05,6.300000,2.05037486,2.27038822,3.12797624,28.281,18.440,1.153,5.674516e+04,61.00,90.00,108,0.47686023,0.01813928,8.42325937e-02,false
14,0.1,256,1024,0.05,6.720000,2.05399668,2.27303437,3.13520195,26.852,18.254,1.141,5.174823e+04,62.25,91.00,108,0.48670349,0.01795067,8.24900230e-02,false
14,0.1,256,1024,0.05,7.140000,2.00872745,2.23181697,3.14428258,24.836,17.755,1.110,4.449609e+04,55.25,91.00,108,0.51674307,0.01735847,7.71370301e-02,false
14,0.1,256,1024,0.05,7.560000,1.99203079,2.21114895,3.08991457,23.234,17.332,1.083,3.999727e+04,55.25,93.00,109,0.53188123,0.01691339,7.32320989e-02,false
14,0.1,256,1024,0.05,7.980000,1.98784231,2.20510299,3.15884952,21.906,16.848,1.053,3.542805e+04,56.00,93.00,109,0.54339846,0.01694318,7.34902486e-02,false
14,0.1,256,1024,0.05,8.400000,1.96411084,2.16662881,3.15939124,20.289,16.104,1.007,2.932441e+04,54.25,81.00,89,0.55049680,0.01657186,7.03044291e-02,false
